,#,Player,Nat.,Age at that time,Club,Market value - carreer high,Current Market Value,Market value at that time,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
192,Attacking Midfield,,,,,,,,,,,,,
193,,Cruzeiro,,,,,,,,,,,,
194,Brazil,,,,,,,,,,,,,
195,,Chris Gunter,,,,,,,,,,,,
196,Right-Back,,,,,,,,,,,,,
197,,Spurs,,,,,,,,,,,,
198,England,,,,,,,,,,,,,
199,,Rafael,,,,,,,,,,,,
200,Right-Back,,,,,,,,,,,,,
201,,Man Utd,,,,,,,,,,,,
202,England,,,,,,,,,,,,,
203,,Martin Ödegaard,,,,,,,,,,,,
204,Right Winger,,,,,,,,,,,,,
205,,Strømsgodset,,,,,,,,,,,,
206,Norway,,,,,,,,,,,,,
